path	bytes	lines	sha256	upstream_v6.18
drivers/misc/mediatek-consys/detect/wmt_stp_exp.c	13081	549	8d413e272a86a24f5feb791eb7a22230614fdbe47c90fa942c303ef3571af765	absent
drivers/misc/mediatek-consys/detect/wmt_stp_exp.h	19354	590	f45448e2b48ded2f7ea9b02981d9915502284fbe40504a2f6177c43835fa9b46	absent
drivers/misc/mediatek-consys/fmradio/Makefile	842	26	372ac0941fed6cc8ac3e20d5228001963aa5c1adbae2aaa5ffa6c01f3dd09ba2	absent
drivers/misc/mediatek-consys/fmradio/core/fm_config.c	16828	589	8be7512ab9aa1c25534c4ccd725af37a3a1479ec83849b4a7806e9eb121e1cef	absent
drivers/misc/mediatek-consys/fmradio/core/fm_eint.c	1153	47	ed24b2e63667cbc7f63139f5d1286cd5cdd84723833aacc5ef94605bca93f42c	absent
drivers/misc/mediatek-consys/fmradio/core/fm_link.c	17090	566	3b94e4f9a49b38ab8f75306414230596c90e76d6ca22ad052b0ef5254ff6159d	absent
drivers/misc/mediatek-consys/fmradio/core/fm_main.c	74610	3039	bbf3965c1b14c73bccaae34e85ea69ae212e60e04068edf52546dcd7239a8a9a	absent
drivers/misc/mediatek-consys/fmradio/core/fm_module.c	37295	1473	592e91c05312ec634fd532da6bad43cb6a4bdc5bc5e79e50dd32650b7336baca	absent
drivers/misc/mediatek-consys/fmradio/core/fm_patch.c	1645	74	15d2c11a68b81539ed3325de65688c705e9f753b4103ddc1377beecdbcf4082c	absent
drivers/misc/mediatek-consys/fmradio/core/fm_rds_parser.c	57232	1912	ee83c3fa4f2c90171a6b729d7922b2a2843ff66d33b20568fbfbb3cb553d27e1	absent
drivers/misc/mediatek-consys/fmradio/core/fm_utils.c	16912	700	67245387187b926c1472756c4ce0e6a06b4e47191c8977ac8da864fce4f58ecf	absent
drivers/misc/mediatek-consys/fmradio/inc/fm_config.h	6072	202	f66369175b5ec76d388b3ababe7b91e56bcb04784861cf0adf43ae4927ab3f77	absent
drivers/misc/mediatek-consys/fmradio/inc/fm_dbg.h	6668	195	3bdf1a9b1e25fd45e497b67d473e130ad9b065ed70dbd8ad2bd171e7e2616e5b	absent
