input-event0.txt
Event: time 1659312664.972673, type 1 (EV_KEY), code 158 (KEY_BACK), value 1
Event: time 1659312665.062754, type 1 (EV_KEY), code 158 (KEY_BACK), value 0
Event: time 1659312665.152686, type 1 (EV_KEY), code 105 (KEY_LEFT), value 1
Event: time 1659312665.242667, type 1 (EV_KEY), code 105 (KEY_LEFT), value 0
Event: time 1659312665.422704, type 1 (EV_KEY), code 106 (KEY_RIGHT), value 1
Event: time 1659312665.512684, type 1 (EV_KEY), code 106 (KEY_RIGHT), value 0
Event: time 1659312673.912741, type 1 (EV_KEY), code 158 (KEY_BACK), value 1
Event: time 1659312674.032783, type 1 (EV_KEY), code 158 (KEY_BACK), value 0

input-second-event1.txt
Event: time 1659312649.153363, type 1 (EV_KEY), code 116 (KEY_POWER), value 1
Event: time 1659312649.265810, type 1 (EV_KEY), code 116 (KEY_POWER), value 0
Event: time 1659312651.301705, type 1 (EV_KEY), code 116 (KEY_POWER), value 1
Event: time 1659312651.386813, type 1 (EV_KEY), code 116 (KEY_POWER), value 0
Event: time 1659312673.022095, type 1 (EV_KEY), code 116 (KEY_POWER), value 1
Event: time 1659312673.133814, type 1 (EV_KEY), code 116 (KEY_POWER), value 0
Event: time 1659312673.464552, type 1 (EV_KEY), code 116 (KEY_POWER), value 1
Event: time 1659312673.566008, type 1 (EV_KEY), code 116 (KEY_POWER), value 0

input-second-event2.txt
Event: time 1659312649.565113, type 1 (EV_KEY), code 114 (KEY_VOLUMEDOWN), value 1
Event: time 1659312649.677810, type 1 (EV_KEY), code 114 (KEY_VOLUMEDOWN), value 0
Event: time 1659312649.937179, type 1 (EV_KEY), code 115 (KEY_VOLUMEUP), value 1
Event: time 1659312650.049030, type 1 (EV_KEY), code 115 (KEY_VOLUMEUP), value 0
Event: time 1659312650.251063, type 1 (EV_KEY), code 114 (KEY_VOLUMEDOWN), value 1
Event: time 1659312650.377459, type 1 (EV_KEY), code 114 (KEY_VOLUMEDOWN), value 0
